127.0.0.1 - - [23/Apr/2019:14:10:13 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/picture/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/picture/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/picture/admin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:10:15 +0800] "GET /Music/picture/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/picture/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/picture/search.png HTTP/1.1" 200 15030
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/picture/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:09 +0800] "GET /Music/picture/admin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/picture/icon.png HTTP/1.1" 200 35012
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/picture/admin.png HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/picture/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/picture/search.png HTTP/1.1" 200 15030
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:12:51 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:13:02 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:13:02 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
