127.0.0.1 - - [10/May/2019:10:44:02 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/index.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/mzt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/ban.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/mzt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/xl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:05 +0800] "GET /Music/picture/pmig.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/index.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/mzt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/mzt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/xl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/pmig.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /Music/picture/ban.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:10:44:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
